Vce,Ic,f,s11,,s21,,s12,,s22,,NF_opt_dB,R_n,Gamma_S_ON,
(V),(mA),(MHz),abs,arg,abs,arg,abs,arg,abs,arg,,,abs,arg
6,5,200,0.81,-73,10.9,134,0.06,50,0.74,-40,,,,
6,5,500,0.68,-130,6.1,102,0.09,29,0.43,-64,1,17.1,0.43,57
6,5,1000,0.66,-167,3.3,79,0.1,22,0.29,-77,1.5,6,0.56,116
6,5,1500,0.66,174,2.3,63,0.1,22,0.27,-94,,,,
6,5,2000,0.68,161,1.8,49,0.11,23,0.29,-104,,,,
6,10,200,0.72,-101,15.9,123,0.05,43,0.57,-58,,,,
6,10,500,0.66,-150,7.7,95,0.06,30,0.29,-86,,,,
6,10,1000,0.66,-178,4,77,0.08,33,0.19,-103,,,,
6,10,1500,0.67,166,2.7,63,0.09,36,0.19,-122,,,,
6,10,2000,0.69,155,2.1,51,0.1,37,0.2,-129,,,,
6,50,200,0.67,-154,21.8,104,0.02,43,0.3,-94,,,,
6,50,500,0.68,-177,9,87,0.03,52,0.17,-129,,,,
6,50,1000,0.7,167,4.5,74,0.06,58,0.14,-151,,,,
6,50,1500,0.71,157,3,62,0.08,59,0.16,-160,,,,
6,50,2000,0.73,148,2.3,51,0.1,55,0.17,-161,,,,
8,5,200,0.83,-69,10.9,136,0.06,52,0.75,-36,,,,
8,5,500,0.71,-125,6.3,103,0.08,30,0.46,-57,,,,
8,5,1000,0.64,-164,3.5,80,0.09,24,0.31,-68,,,,
8,5,1500,0.65,176,2.4,63,0.1,23,0.29,-84,,,,
8,5,2000,0.66,163,1.8,49,0.11,24,0.3,-94,,,,
8,10,200,0.74,-94,16.2,125,0.05,45,0.6,-51,,,,
8,10,500,0.65,-146,7.9,96,0.06,32,0.31,-74,,,,
8,10,1000,0.64,-176,4.2,77,0.07,33,0.2,-87,,,,
8,10,1500,0.65,168,2.8,63,0.09,36,0.19,-104,,,,
8,10,2000,0.67,156,2.2,50,0.1,37,0.2,-111,,,,
8,50,200,0.62,-150,22.7,104,0.02,43,0.3,-81,,,,
8,50,500,0.64,-174,9.4,86,0.03,51,0.15,-107,,,,
8,50,1000,0.68,167,4.8,74,0.05,58,0.1,-126,,,,
8,50,1500,0.69,160,3.2,61,0.07,58,0.13,-140,,,,
8,50,2000,0.7,147,2.4,50,0.09,55,0.15,-140,,,,
