Vce,Ic,f,s11,,s21,,s12,,s22,,NF_opt_dB,R_n,Gamma_S_ON,
(V),(mA),(MHz),abs,arg,abs,arg,abs,arg,abs,arg,,,abs,arg
6,5,200,0.74,-86,10.5,129,0.06,48,0.69,-42,,,,
6,5,500,0.62,-143,5.5,97,0.08,33,0.41,-59,0.9,9.3,0.49,74
6,5,1000,0.61,178,3,78,0.09,37,0.28,-69,1.5,7.5,0.48,134
6,5,1500,0.65,158,2,62,0.11,44,0.26,-88,,,,
6,5,2000,0.7,140,1.6,51,0.14,51,0.27,-99,,,,
6,10,200,0.64,-111,15,118,0.04,44,0.53,-59,,,,
6,10,500,0.58,-160,6.9,93,0.06,42,0.27,-77,,,,
6,10,1000,0.59,168,3.7,77,0.09,52,0.16,-91,,,,
6,10,1500,0.63,151,2.5,64,0.12,56,0.16,-113,,,,
6,10,2000,0.67,134,2,53,0.16,57,0.16,-118,,,,
6,50,200,0.56,-160,20.4,102,0.02,57,0.27,-98,,,,
6,50,500,0.57,176,8.4,86,0.05,67,0.14,-130,,,,
6,50,1000,0.6,156,4.4,75,0.09,70,0.11,-164,,,,
6,50,1500,0.62,152,2.9,64,0.13,68,0.13,-175,,,,
6,50,2000,0.66,127,2.4,53,0.18,62,0.11,-178,,,,
8,5,200,0.75,-83,10.7,129,0.06,49,0.71,-39,,,,
8,5,500,0.62,-140,5.1,98,0.08,34,0.43,-54,,,,
8,5,1000,0.6,-179,3.7,78,0.09,38,0.31,-62,,,,
8,5,1500,0.64,159,2.1,62,0.1,45,0.29,-80,,,,
8,5,2000,0.69,141,1.7,52,0.13,52,0.29,-91,,,,
8,10,200,0.64,-99,15.1,120,0.05,46,0.54,-60,,,,
8,10,500,0.52,-152,7.1,94,0.07,45,0.32,-75,,,,
8,10,1000,0.52,170,3.7,76,0.1,54,0.15,-82,,,,
8,10,1500,0.52,150,2.5,62,0.13,56,0.16,-108,,,,
8,10,2000,0.57,133,2,51,0.18,55,0.16,-107,,,,
8,50,200,0.52,-153,19.6,102,0.03,56,0.28,-92,,,,
8,50,500,0.52,178,8.1,86,0.05,67,0.16,-98,,,,
8,50,1000,0.56,157,4.1,73,0.1,70,0.06,-130,,,,
8,50,1500,0.54,139,2.8,62,0.13,68,0.11,-146,,,,
8,50,2000,0.59,126,2.2,52,0.19,63,0.1,-137,,,,
